"id","cate_id","food_name","alias_name","english_name","edible_part","water","energy","protein","fat","cholesterol","ash","carbohydrate","dietary_fiber","carotene","vitamin_a","vitamin_e","thiamin","riboflavin","niacin","vitamin_c","calcium","phosphorus","potassium","sodium","magnesium","iron","zinc","selenium","copper","manganese","iodine","sfa","mufa","pufa","fatty_acids_total"
"1303","126","铁板牛肉炒面面饼","","","100%","3.9g","1547kJ","12.0g","","—","2.8g","81.3g","4.40g","345.0μg","5.0μg","—","0.10mg","0.03mg","1.15mg","Tr","12mg","130mg","139mg","596.4mg","24mg","2.6mg","0.70mg","8.10μg","0.21mg","0.71mg","17.6μg","—","—","—","—"
"1304","126","铁板牛肉炒面调味料","","","100%","8.0g","1341kJ","10.1g","","—","13.1g","68.8g","0.00g","—","Tr","—","0.29mg","0.10mg","1.21mg","Tr","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"1305","126","玉米红烧牛肉味方便面(含调味料)","商品名：玉米红烧牛肉面。","","100%","18.6g","1415kJ","5.8g","4.1g","—","3.0g","68.5g","","—","—","—","0.29mg","0.04mg","0.28mg","—","57mg","224mg","69mg","673.7mg","71mg","8.5mg","0.86mg","1.10μg","0.06mg","0.89mg","—","43.4%","41.3%","15.2%","99.9%"
"1306","126","玉米红烧牛肉味方便面面饼","","","100%","22.6g","1263kJ","6.0g","","—","3.1g","68.3g","","—","—","—","0.03mg","0.04mg","0.31mg","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"1307","126","玉米红烧牛肉味方便面调味料","","","100%","16.2g","1391kJ","3.6g","","—","2.0g","78.2g","","—","—","—","2.83mg","0.03mg","Tr","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"1308","126","海鲜鸡汁味米线(含调味料)","商品名：快餐米线230（海鲜鸡汁）。","","100%","58.1g","717kJ","4.5g","1.0g","—","0.9g","35.5g","","—","5.0μg","2.20mg","0.01mg","0.01mg","Tr","—","5mg","36mg","3mg","13.3mg","9mg","0.5mg","0.23mg","1.10μg","0.14mg","0.18mg","67.0μg","—","—","—","—"
"1309","126","海鲜鸡汁味米线面饼","","","100%","58.8g","699kJ","3.9g","","—","0.1g","37.2g","","—","Tr","0.00mg","0.01mg","0.01mg","Tr","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"1310","126","海鲜鸡汁味米线调味料","","","100%","7.9g","1295kJ","7.2g","","—","15.9g","69.0g","","—","50.0μg","2.30mg","0.01mg","0.02mg","Tr","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"1311","126","冬菜虾仁馄饨","","","100%","58.9g","744kJ","9.1g","4.3g","44mg","1.2g","26.5g","2.30g","—","—","—","0.08mg","0.06mg","1.10mg","0.0mg","33mg","90mg","127mg","316.0mg","20mg","1.1mg","0.60mg","—","—","—","—","35.5%","40.5%","23.8%","99.8%"
"1312","126","韭菜合子","","","100%","59.7g","878kJ","7.5g","11.3g","36mg","1.2g","20.3g","1.40g","—","—","—","0.04mg","0.04mg","3.10mg","0.0mg","59mg","66mg","180mg","287.0mg","20mg","1.5mg","0.90mg","—","—","—","—","24.1%","24.7%","51.3%","100.1%"
